time,y
1433194945,0.194
1433194945,0.193
1433194945,0.192
1433194945,0.191
1433194945,0.189
1433194946,0.188
1433194946,0.187
1433194946,0.186
1433194946,0.185
1433194946,0.184
1433194946,0.183
1433194946,0.182
1433194946,0.181
1433194946,0.179
1433194946,0.178
1433194947,0.176
1433194947,0.175
1433194947,0.173
1433194947,0.172
1433194947,0.171
1433194947,0.169
1433194947,0.169
1433194947,0.169
1433194947,0.168
1433194947,0.168
1433194948,0.168
1433194948,0.167
1433194948,0.167
1433194948,0.167
1433194948,0.166
1433194948,0.166
1433194948,0.166
1433194948,0.166
1433194948,0.166
1433194948,0.166
1433194949,0.166
1433194949,0.166
1433194949,0.166
1433194949,0.166
1433194949,0.166
1433194949,0.166
1433194949,0.165
1433194949,0.164
1433194949,0.164
1433194949,0.163
1433194950,0.162
1433194950,0.161
1433194950,0.161
1433194950,0.16
1433194950,0.159
1433194950,0.158
1433194950,0.158
1433194950,0.158
1433194950,0.159
1433194950,0.159
1433194951,0.16
1433194951,0.162
1433194951,0.163
1433194951,0.165
1433194951,0.167
1433194951,0.169
1433194951,0.172
1433194951,0.175
1433194951,0.178
1433194951,0.181
1433194952,0.184
1433194952,0.187
1433194952,0.19
1433194952,0.194
1433194952,0.197
1433194952,0.2
1433194952,0.202
1433194952,0.204
1433194952,0.205
1433194952,0.207
1433194953,0.209
1433194953,0.21
1433194953,0.212
1433194953,0.214
1433194953,0.216
1433194953,0.217
1433194953,0.219
1433194953,0.22
1433194953,0.221
1433194953,0.222
1433194954,0.223
1433194954,0.224
1433194954,0.225
1433194954,0.227
1433194954,0.228
1433194954,0.229
1433194954,0.231
1433194954,0.232
1433194954,0.234
1433194954,0.236
1433194955,0.238
1433194955,0.239
1433194955,0.241
1433194955,0.243
1433194955,0.245
1433194955,0.247
1433194955,0.248
1433194955,0.25
1433194955,0.251
1433194955,0.253
1433194956,0.255
1433194956,0.256
1433194956,0.258
1433194956,0.26
1433194956,0.262
1433194956,0.264
1433194956,0.265
1433194956,0.266
1433194956,0.268
1433194956,0.269
1433194957,0.271
1433194957,0.273
1433194957,0.274
1433194957,0.276
1433194957,0.278
1433194957,0.279
1433194957,0.28
1433194957,0.28
1433194957,0.28
1433194957,0.28
1433194958,0.281
1433194958,0.281
1433194958,0.281
1433194958,0.282
1433194958,0.282
1433194958,0.282
1433194958,0.282
1433194958,0.282
1433194958,0.282
1433194958,0.282
1433194959,0.282
1433194959,0.282
1433194959,0.282
1433194959,0.282
1433194959,0.282
1433194959,0.282
1433194959,0.282
1433194959,0.282
1433194959,0.282
1433194959,0.281
1433194960,0.281
1433194960,0.281
1433194960,0.281
1433194960,0.281
1433194960,0.281
1433194960,0.281
1433194960,0.279
1433194960,0.278
1433194960,0.277
1433194960,0.276
1433194961,0.274
1433194961,0.273
1433194961,0.272
1433194961,0.27
1433194961,0.269
1433194961,0.268
1433194961,0.264
1433194961,0.26
1433194961,0.257
1433194961,0.253
1433194962,0.249
1433194962,0.246
1433194962,0.243
1433194962,0.239
1433194962,0.236
1433194962,0.233
1433194962,0.231
1433194962,0.228
1433194962,0.226
1433194962,0.223
1433194963,0.221
1433194963,0.219
1433194963,0.217
1433194963,0.216
1433194963,0.214
1433194963,0.212
1433194963,0.212
1433194963,0.211
1433194963,0.21
1433194963,0.21
1433194964,0.209
1433194964,0.209
1433194964,0.208
1433194964,0.207
1433194964,0.207
1433194964,0.206
1433194964,0.206
1433194964,0.205
1433194964,0.204
1433194964,0.204
1433194965,0.203
1433194965,0.203
1433194965,0.202
1433194965,0.201
1433194965,0.201
1433194965,0.2
1433194965,0.2
1433194965,0.2
1433194965,0.2
1433194965,0.199
1433194966,0.199
1433194966,0.199
1433194966,0.199
1433194966,0.199
1433194966,0.199
1433194966,0.199
1433194966,0.199
1433194966,0.199
1433194966,0.199
1433194966,0.199
1433194967,0.199
1433194967,0.199
1433194967,0.199
1433194967,0.199
1433194967,0.2
1433194967,0.2
1433194967,0.2
1433194967,0.2
1433194967,0.2
1433194967,0.2
1433194968,0.2
1433194968,0.2
1433194968,0.2
1433194968,0.2
1433194968,0.2
1433194968,0.2
1433194968,0.201
1433194968,0.201
1433194968,0.201
1433194968,0.202
1433194969,0.202
1433194969,0.202
1433194969,0.203
1433194969,0.203
1433194969,0.203
1433194969,0.204
1433194969,0.204
1433194969,0.205
1433194969,0.206
1433194969,0.207
1433194970,0.208
1433194970,0.209
1433194970,0.21
1433194970,0.211
1433194970,0.212
1433194970,0.213
1433194970,0.214
1433194970,0.216
1433194970,0.218
1433194970,0.219
1433194971,0.221
1433194971,0.223
1433194971,0.224
1433194971,0.226
1433194971,0.228
